"","lon","lat"
"482",-79.0192997,35.7595731
"484",-119.7725868,36.7468422
"488",22.937506,-30.559482
"490",-19.020835,64.963051
"491",-117.1610838,32.715738
"492",28.0473051,-26.2041028
"494",-86.158068,39.768403
"495",-0.1277583,51.5073509
"496",-0.9892703,49.3971886
"497",-102.4107493,34.2331373
"501",-100.4885515,49.3849271
"502",-95.3698028,29.7604267
"504",-75.0393438,39.4020596
"506",-82.9000751,32.1656221
"508",36.8219462,-1.2920659
"509",-79.6903316,44.3893556
"512",-3.7837117,52.1306607
"513",-89.9134594,35.1170052
"514",-111.8314724,33.4151843
"516",117.1436154,-0.4948232
"517",-1.61778,54.978252
"519",27.8540323,-26.2485377
"521",-3.435973,55.378051
"522",91.8932535,25.5787726
"524",28.0473051,-26.2041028
"528",-0.1277583,51.5073509
"532",4.7005176,50.8798438
"533",28.0473051,-26.2041028
"536",23.7275388,37.9838096
"538",-1.1743197,52.3555177
"541",0.4662071,50.8499062
"544",-119.4179324,36.778261
"550",-81.5582714,28.3575294
"553",0.4690888,51.7343313
"555",-12.4041666,-60.2483333
"557",-0.1277583,51.5073509
"558",-77.4360481,37.5407246
"559",17.7948189,50.6411215
"560",-0.3982145,53.0452281
"563",-0.7594171,52.0406224
"566",1.169456,51.081397
"567",31.0218404,-29.8586804
"569",-102.552784,23.634501
"570",17.6389267,59.8585638
"571",-90.2915132,43.2233214
"574",55.2707828,25.2048493
"576",18.0685808,59.3293235
"578",-77.0368707,38.9071923
"579",-1.4418634,54.9636693
"581",78.96288,20.593684
"582",-118.1445155,34.1477849
"584",18.4947987,-33.8275375
"587",-1.1743197,52.3555177
"589",-2.9915726,53.4083714
"592",115.2126293,-8.6704582
"602",-0.1277583,51.5073509
"603",-0.1277583,51.5073509
"604",-2.7044052,53.7632254
"605",-3.1647333,54.8313317
"606",6.1431577,46.2043907
"607",-96.7969879,32.7766642
"608",-1.1743197,52.3555177
"611",5.1214201,52.0907374
"612",-0.1277583,51.5073509
"614",-115.1398296,36.1699412
"618",-5.0527125,50.2660471
"620",-3.7037902,40.4167754
"621",-74.0738518,40.7805484
"623",-76.8449341,39.1674643
"624",-82.3248262,29.6516344
"634",-3.74922,40.463667
"640",-83.555212,41.6639383
"645",-1.1581086,52.9547832
"650",-77.0368707,38.9071923
"651",-3.435973,55.378051
"652",114.109497,22.396428
"655",-3.7837117,52.1306607
"657",-0.1277583,51.5073509
"658",-105.5108312,39.9613759
"661",78.96288,20.593684
"662",-73.134961,40.789142
"663",7.2900686,46.2379665
"664",22.937506,-30.559482
"666",-7.6920536,53.1423672
"667",-79.5394625,43.8430176
"669",-94.1049895,36.3704099
"672",-75.977985,36.8529263
"675",4.469936,50.503887
"677",-1.1743197,52.3555177
"679",-3.999461,50.7772135
"683",-77.1945247,41.2033216
"685",25.9231471,-24.6282079
"686",-3.435973,55.378051
"689",-95.712891,37.09024
"691",3.7174243,51.0543422
"692",-2.337761,52.1035321
"696",-74.0059728,40.7127753
"701",10.451526,51.165691
"703",-2.7877294,54.0103942
"706",-0.1746853,51.4941501
"714",0.506721,51.388
"715",120.9842195,14.5995124
"717",-106.346771,56.130366
"720",-1.691032,52.633584
"729",-83.3393462,37.3112042
"730",-1.1581086,52.9547832
"731",-2.7417849,52.7063657
"733",-81.7245739,41.3136644
"734",22.937506,-30.559482
"737",28.0473051,-26.2041028
"738",-95.712891,37.09024
"739",-70.6672621,41.9584457
"746",-91.8318334,35.20105
"749",74.3587473,31.5203696
"752",103.819836,1.352083
"755",-111.9260519,33.4941704
"763",-4.1199696,57.0650269
"765",121.0244452,14.554729
"767",-0.1277583,51.5073509
"772",-95.712891,37.09024
"773",0.8864021,52.6139686
"775",-74.0059728,40.7127753
"779",-2.441181,50.7111639
"781",-0.1277583,51.5073509
"782",-96.3049975,39.2019412
"784",-73.8912481,41.2084278
"787",-81.5157535,27.6648274
"788",-95.971261,36.153315
"792",-1.1743197,52.3555177
"794",-110.1624948,38.9955054
"796",-79.0192997,35.7595731
"799",-95.712891,37.09024
"802",-79.9667766,40.4259915
"804",-80.8431267,35.2270869
"805",-3.17909,51.481581
"807",-80.9787205,33.9456541
"811",-118.1853486,33.9605701
"813",145.7080742,-37.1943946
"814",153.121389,-27.544722
"815",2.213749,46.227638
"820",-0.1277583,51.5073509
"822",139.6917064,35.6894875
"823",174.885971,-40.900557
"828",147.1506542,-9.4780123
"836",-97.1416798,32.8388091
"837",-95.712891,37.09024
"840",0.121817,52.205337
"841",-0.399752,54.283113
"842",-83.9811014,34.1140497
"852",-124.8457334,64.8255441
"860",110.3785438,1.6076812
"861",-104.8213634,38.8338816
"862",-71.031271,42.397944
"863",-77.0483959,38.9028939
"864",-76.67655,39.455552
"865",149.189913,-35.3080906
"866",4.3517211,50.8503463
"872",-1.1743197,52.3555177
"874",-1.61778,54.978252
"880",144.9630576,-37.8136276
"882",-83.040888,39.9917495
"883",-76.6239423,39.2635174
"884",-85.546528,39.812148
"887",174.7633315,-36.8484597
"889",1.0778445,49.4452403
"890",-85.6023643,44.3148443
"891",-72.7130983,41.7398102
"894",25.9231471,-24.6282079
"895",-95.712891,37.09024
"899",-122.4194155,37.7749295
"901",-75.2853789,40.006462
"902",-95.712891,37.09024
"905",-85.759963,38.2967362
"906",-121.8863286,37.3382082
"912",-82.907123,40.4172871
"918",-86.5804473,35.5174913
"919",-111.0937311,39.3209801
"928",-122.3320708,47.6062095
"931",-0.1277583,51.5073509
"934",-90.1994042,38.6270025
"937",5.291266,52.132633
"938",48.0047439,29.373051
"939",-121.2890062,44.0706845
"942",-3.435973,55.378051
"943",-104.990251,39.7392358
"944",-3.7037902,40.4167754
"946",8.227512,46.818188
"948",-72.5795115,42.4663727
"949",-66.590149,18.220833
"950",-122.4194155,37.7749295
"951",35.243322,38.963745
"955",55.975413,21.4735329
"961",-112.0740373,33.4483771
"962",67.2847875,25.0700428
"964",139.6917064,35.6894875
"965",-2.1632062,54.1962686
"966",-77.0441143,35.108493
"967",-71.3824374,42.4072107
"968",67.2847875,25.0700428
"969",36.8219462,-1.2920659
"970",-3.435973,55.378051
"975",144.98815,-37.8019
"982",-122.5170056,37.9337134
"983",-2.8007399,54.046575
"984",-1.1743197,52.3555177
"985",-96.7969879,32.7766642
"992",-118.2436849,34.0522342
"994",22.937506,-30.559482
"997",123.363905,41.7860178
"1002",-81.5102655,41.4323067
"1003",-110.9080999,27.9057133
"1004",36.8219462,-1.2920659
"1006",-0.39032,51.656489
"1008",-1.0923964,51.26654
"1012",-90.9123277,33.9773305
"1014",19.5033041,47.162494
"1020",75.6737869,32.2732994
"1021",-80.8431267,35.2270869
"1022",144.9630576,-37.8136276
"1027",-118.2436849,34.0522342
"1028",-82.4571776,27.950575
"1030",-118.255075,34.1425078
"1034",-118.4911912,34.0194543
"1035",-111.8910474,40.7607793
"1037",-106.346771,56.130366
"1039",-90.0489801,35.1495343
"1042",-123.1059282,44.6365107
"1043",-121.8863286,37.3382082
"1044",-0.1628985,51.2532945
"1047",-95.712891,37.09024
"1054",22.937506,-30.559482
"1059",-120.5478474,46.9965144
"1061",-79.0192997,35.7595731
"1063",-121.2907796,37.9577016
"1064",18.4240553,-33.9248685
"1066",4.3517211,50.8503463
"1068",-1.1743197,52.3555177
"1070",151.2092955,-33.8688197
"1071",-77.0287949,38.8983313
"1074",10.451526,51.165691
"1075",-0.9936306,53.100319
"1077",8.6602704,49.544964
"1078",-118.2436849,34.0522342
"1080",108.277199,14.058324
"1081",-118.2436849,34.0522342
"1084",-121.495139,38.579306
"1087",-117.1610838,32.715738
"1088",-122.6764815,45.5230622
"1090",0.121817,52.205337
"1096",-115.1728484,36.1147065
"1099",28.2292712,-25.7478676
"1101",28.2292712,-25.7478676
"1103",-121.302728,38.5890723
"1104",22.937506,-30.559482
"1106",-79.3831843,43.653226
"1107",-2.320096,51.230751
"1113",-89.6501481,39.7817213
"1114",103.9473728,1.3720937
"1116",1.297355,52.6308859
"1124",24.822557,59.4357313
"1125",-95.712891,37.09024
"1127",-117.84113,33.7462229
"1129",-91.8318334,35.20105
"1130",-73.567256,45.5016889
"1136",-119.4179324,36.778261
"1139",-71.3824374,42.4072107
"1146",-122.6764815,45.5230622
"1154",67.0365922,24.8331325
"1155",174.7633315,-36.8484597
"1156",-89.3985283,40.6331249
"1158",-98.454075,30.8468694
"1159",25.5207358,-33.7139247
"1162",13.404954,52.5200066
"1163",-73.7751326,41.0748188
"1169",-3.999461,50.7772135
"1170",-115.1398296,36.1699412
"1171",-118.3419488,34.1017048
"1172",4.8951679,52.3702157
"1173",27.8076959,-26.7034204
"1177",-97.5164276,35.4675602
"1181",-86.902298,32.3182314
"1188",-76.6121893,39.2903848
"1189",-82.3237042,34.7655131
"1190",-2.7967214,56.3397753
"1192",-88.9946702,40.5122833
"1194",26.6317514,-26.8598225
"1195",13.404954,52.5200066
"1196",28.1953061,-25.8837984
"1197",-122.4194155,37.7749295
"1199",-70.620363,42.6556505
"1202",-122.2712357,37.8022657
"1207",-118.3812562,34.187044
"1220",-3.999461,50.7772135
"1222",-117.918296,33.813446
"1223",-122.2913078,37.8271784
"1224",-95.3698028,29.7604267
"1225",4.469936,50.503887
"1226",-1.2577263,51.7520209
"1227",-91.8318334,35.20105
"1229",-105.0158511,39.8596261
"1231",19.145136,51.919438
"1232",69.345116,30.375321
"1235",139.6917064,35.6894875
"1236",-95.8617421,36.1063608
"1237",-72.6612317,44.1390054
"1242",18.5599233,-33.8587307
"1245",-71.3824374,42.4072107
"1252",-120.6596156,35.2827524
"1255",-122.2913078,37.8271784
"1257",-86.5804473,35.5174913
"1264",-81.5157535,27.6648274
"1268",-81.5157535,27.6648274
"1270",-99.9018131,31.9685988
"1286",-93.2922989,37.2089572
"1287",-90.0489801,35.1495343
"1289",-76.4859544,44.2311717
"1295",-80.085059,42.1292241
"1309",-118.542586,34.3916641
"1316",-78.8783689,42.8864468
"1323",-74.0059728,40.7127753
"1326",121.774017,12.879721
"1327",170.1547567,-45.4790671
"1328",-82.1012554,39.3292396
"1329",19.040235,47.497912
"1332",-95.712891,37.09024
"1335",-76.6412712,39.0457549
"1338",77.2090212,28.6139391
"1342",21.252529,48.3562385
"1348",-93.2009998,44.9374831
"1351",-84.2963123,33.7748275
"1359",100.5017651,13.7563309
"1369",-98.2300124,26.2034071
"1370",-118.4003563,34.0736204
"1374",-3.17909,51.481581
"1381",-99.9018131,31.9685988
"1382",-117.1610838,32.715738
"1388",-81.5157535,27.6648274
"1396",-73.8013984,41.0878927
"1400",-119.4179324,36.778261
"1403",25.5207358,-33.7139247
"1407",-95.4203809,29.8034146
"1409",-98.4842465,39.011902
"1411",69.345116,30.375321
"1412",22.937506,-30.559482
"1414",-104.990251,39.7392358
"1415",-79.9958864,40.4406248
"1416",-81.4498717,37.2232316
"1427",110.3592127,1.5532783
"1428",-119.4179324,36.778261
"1429",135.7680294,35.0116363
"1430",28.0473051,-26.2041028
"1437",-73.9475088,40.7758656
"1442",-94.6119004,38.8550077
"1446",-118.2436849,34.0522342
"1453",-117.5847273,33.8838185
"1455",-74.0059728,40.7127753
"1456",106.8650395,-6.17511
"1457",-73.9441579,40.6781784
"1463",36.8219462,-1.2920659
"1470",-116.5765035,53.9332706
"1477",-123.3283925,42.4390069
"1478",101.975766,4.210484
"1481",-96.7298519,32.9483335
"1483",-115.1398296,36.1699412
"1485",-87.6297982,41.8781136
"1486",14.7327365,63.0956747
"1488",-86.1349019,40.2671941
"1491",-117.7499909,34.055103
"1492",-117.935274,34.033879
"1500",103.940395,1.3540801
"1502",6.0608726,51.4427238
"1504",-79.3975605,43.6486172
"1505",-75.2176046,40.011293
"1506",-69.994187,43.7404148
"1508",25.5207358,-33.7139247
"1512",18.4240553,-33.9248685
"1514",-71.0588801,42.3600825
"1518",-119.0167679,36.06523
"1520",114.109497,22.396428
"1523",-99.9018131,31.9685988
"1526",-99.9018131,31.9685988
"1534",-98.3898726,40.5862583
"1536",-122.2913078,37.8271784
"1538",-80.236429,43.5439897
"1540",28.0473051,-26.2041028
"1544",-87.9064736,43.0389025
"1548",-118.2436849,34.0522342
"1553",67.2847875,25.0700428
"1559",-79.3831843,43.653226
"1560",29.3221307,-23.369633
"1564",28.9783589,41.0082376
"1568",-122.2913078,37.8271784
"1569",-119.4179324,36.778261
"1572",-117.1610838,32.715738
"1574",-83.6096516,40.6469982
"1576",-121.2907796,37.9577016
"1578",-74.694929,40.774716
"1579",35.9659123,-0.1674769
"1580",-149.9002778,61.2180556
"1583",-122.6764815,45.5230622
"1585",-80.0236336,40.4422731
"1590",-92.0198427,30.2240897
"1592",88.6241351,24.3635886
"1593",-120.9968782,37.6390972
"1594",-73.134961,40.789142
"1600",-71.3824374,42.4072107
"1605",-95.712891,37.09024
"1611",-73.9863253,40.747317
"1615",78.2974404,30.2217831
"1618",-123.8264512,46.5180824
"1621",-73.9992966,40.7453369
"1624",-74.2045917,41.7248156
"1628",-119.4179324,36.778261
"1629",-82.8373654,34.6834382
"1630",139.7319925,35.7090259
"1635",131.8869243,43.1198091
"1640",121.0359174,14.5794443
"1642",-119.4179324,36.778261
"1643",-74.4056612,40.0583238
"1647",-122.4442906,47.2528768
"1648",-72.6506488,41.5623209
"1653",-97.7430608,30.267153
"1657",36.080026,-0.3030988
"1658",-74.1637553,40.8584328
"1660",-96.5716694,39.1836082
"1668",-82.727966,27.863318
"1674",-1.829833,52.4750743
"1684",90.4125181,23.810332
"1686",-84.3879824,33.7489954
"1692",-89.4012302,43.0730517
"1693",-89.0179332,42.6251506
"1699",-73.4784795,44.6970393
"1702",-96.7969879,32.7766642
"1704",-111.6547075,35.1851895
"1713",-0.0804836,51.5273935
"1715",-119.4179324,36.778261
"1716",-82.9987942,39.9611755
"1718",-86.7816016,36.1626638
"1724",-99.9018131,31.9685988
"1725",-75.1652215,39.9525839
"1726",7.6126843,46.3423464
"1729",-120.7401385,47.7510741
"1731",-118.2436849,34.0522342
"1732",-95.3698028,29.7604267
"1735",-89.3985283,40.6331249
"1737",120.9842195,14.5995124
"1738",-77.0075627,38.9004074
"1741",-122.6209649,45.4299135
"1743",-74.0059728,40.7127753
"1750",-77.1945247,41.2033216
"1752",-106.6055534,35.0853336
"1755",-122.3320708,47.6062095
"1756",-91.9026733,30.2695133
"1757",-88.3496396,41.7545293
"1761",-87.6675292,34.7448112
"1762",-115.1398296,36.1699412
"1771",-71.17778,43.227021
"1774",-77.1945247,41.2033216
"1776",-112.3579364,33.4933743
"1777",-81.3961338,30.2841224
"1780",-104.990251,39.7392358
"1781",-95.3698028,29.7604267
"1782",-78.6568942,37.4315734
"1783",-84.398753,33.777444
"1785",-85.323214,51.253775
"1786",-77.1945247,41.2033216
"1787",-122.6764815,45.5230622
"1788",-118.3512858,34.0834058
"1790",-110.3625658,46.8796822
"1791",-77.4360481,37.5407246
"1793",153.0251235,-27.4697707
"1794",-122.6764815,45.5230622
"1798",-115.1398296,36.1699412
"1799",-117.9009545,48.5449971
"1801",149.1300092,-35.2809368
"1802",-119.4179324,36.778261
"1805",-77.297508,18.109581
"1808",-73.4139621,41.3712283
"1809",-74.4056612,40.0583238
"1812",-81.9234726,41.4156025
"1813",-84.3879824,33.7489954
"1818",-120.5542012,43.8041334
"1824",-106.4850217,31.7618778
"1828",26.6317514,-26.8598225
"1832",-119.4179324,36.778261
"1834",-96.7956862,32.8064567
"1839",-76.5319854,3.4516467
"1842",-96.7969879,32.7766642
"1845",-117.5664384,33.8752935
"1846",-4.498792,55.614719
"1851",-81.0998342,32.0835407
"1852",18.0685808,59.3293235
"1853",-95.712891,37.09024
"1854",-73.9712488,40.7830603
"1855",-100.4370375,31.4637723
"1860",-73.8648268,40.8447819
"1863",-94.6858998,46.729553
"1865",-82.907123,40.4172871
"1867",-115.1398296,36.1699412
"1871",-100.4370375,31.4637723
"1874",-79.0192997,35.7595731
"1876",-75.5950446,39.7768783
"1877",-77.370841,37.6060488
"1879",148.6329645,-32.2315018
"1882",-79.5394625,43.8430176
"1884",-97.3307658,32.7554883
"1885",-117.1610966,32.7157305
"1887",-75.5397878,39.7390721
"1891",-115.2649268,36.1555084
"1894",-118.1937395,33.7700504
"1905",-99.9018131,31.9685988
"1916",-104.9371993,40.0991506
"1917",84.124008,28.394857
"1918",-89.3985283,40.6331249
"1923",-119.2920585,36.3302284
"1924",-94.5785667,39.0997265
"1925",-97.1330683,33.2148412
"1926",-85.6023643,44.3148443
"1928",-94.5785667,39.0997265
"1930",-82.1306747,33.5337464
"1932",-118.2436849,34.0522342
"1939",-71.2289641,42.4430372
"1943",-81.2452768,42.9849233
"1944",-82.1587351,36.0156735
"1945",-95.90194,36.146636
"1946",-111.8910474,40.7607793
"1950",-95.3698028,29.7604267
"1951",-120.7401385,47.7510741
"1959",-92.7140402,32.5276503
"1960",-122.2913078,37.8271784
"1961",-123.3656444,48.4284207
"1963",-72.6314532,42.3186309
"1969",-97.1383744,49.895136
"1970",-87.9959191,42.9405711
"1974",-94.2210237,35.4915705
"1976",-95.712891,37.09024
"1977",-115.7694002,49.5129678
"1978",-105.084423,40.5852602
"1981",-82.9000751,32.1656221
"1986",-96.5158517,50.0617283
"1989",-88.7878678,43.7844397
"1990",127.510093,40.339852
"1991",-95.971261,36.153315
"1997",-40.420365,-20.2642764
"2006",-70.9814978,43.250507
"2009",-95.3698028,29.7604267
"2014",-122.3320708,47.6062095
"2018",5.291266,52.132633
"2019",-120.456613,38.134816
"2026",-118.2436849,34.0522342
"2030",-43.1985932,-22.984667
"2037",-82.285748,35.449369
"2038",-79.9958864,40.4406248
"2040",-4.251806,55.864237
"2049",-79.9958864,40.4406248
"2054",-99.9018131,31.9685988
"2057",-85.9213796,39.2014404
"2059",-7.3299766,43.1491458
"2060",-119.4179324,36.778261
"2061",-73.7948516,41.1220194
"2069",-90.1994042,38.6270025
"2070",-91.9623327,30.9842977
"2071",-102.4107493,34.2331373
"2072",-76.6412712,39.0457549
"2075",-95.3698028,29.7604267
"2077",-119.4179324,36.778261
"2078",-95.712891,37.09024
"2079",-118.2436849,34.0522342
"2086",-82.907123,40.4172871
"2089",-74.0059728,40.7127753
"2090",-95.3698028,29.7604267
"2093",-120.8958242,38.8375215
"2094",114.164989,22.276156
"2096",-122.8677562,49.2849107
"2097",-3.435973,55.378051
"2099",-87.6297982,41.8781136
"2103",-119.4179324,36.778261
"2104",-122.6764815,45.5230622
"2113",-87.9301134,42.9308255
"2114",138.252924,36.204824
"2116",-63.5752387,44.6487635
"2117",-79.0192997,35.7595731
"2118",-119.4960106,49.8879519
"2120",-87.879523,41.1760108
"2122",103.819836,1.352083
"2126",-95.9904878,36.150625
"2130",-119.4179324,36.778261
"2140",-84.3879824,33.7489954
"2143",-77.4360481,37.5407246
"2145",-106.346771,56.130366
"2148",-113.0114421,38.3971491
"2150",-97.3320624,37.6885905
"2153",-71.0588801,42.3600825
"2155",-81.5135272,41.5092387
"2159",-75.262681,41.253423
"2162",144.9630576,-37.8136276
"2164",-79.0867579,43.8384117
"2169",-88.8082706,39.8757572
"2170",-79.9958864,40.4406248
"2172",-113.2094659,53.7007157
"2173",-113.4909267,53.544389
"2176",-97.7430608,30.267153
"2177",-82.486024,42.8208653
"2182",-102.4107493,34.2331373
"2185",153.0251235,-27.4697707
"2190",-121.7405167,38.5449065
"2198",0.290472,50.768035
"2201",-82.9987942,39.9611755
"2207",-70.934205,41.6362152
"2211",-83.8601827,33.5967815
"2213",-97.6534711,30.5220755
"2214",-78.898619,35.9940329
"2219",-80.0784502,41.1558824
"2225",-81.4735257,28.4720521
"2228",-80.1229712,26.5503805
"2230",-76.8568172,38.9155625
"2232",-105.7820674,39.5500507
"2235",-100.8108714,50.6683442
"2239",29.3598782,-3.361378
"2241",-84.3879824,33.7489954
"2245",-76.5205184,39.2506633
"2247",-94.44355,36.650627
"2248",78.486671,17.385044
"2250",-79.3831843,43.653226
"2264",-74.694929,40.774716
"2268",-118.2436849,34.0522342
"2272",-122.2913078,37.8271784
"2274",-0.1277583,51.5073509
"2278",-106.346771,56.130366
"2279",-97.3307658,32.7554883
"2284",-97.5087365,25.9434529
