Week Age(0-4) Age(5-24) Age(25-49) Age(50-64) Age(over-64) Total-ILI Total-Patients %Unweighted-ILI	%Weighted-ILI
201740	3831	4532	2463	1030	866	12722	998676	1.3	1.3
201741	4110	4440	2657	1054	946	13207	994697	1.3	1.3
201742	4402	4962	2788	1104	970	14226	1014391	1.4	1.3
201743	4988	5484	2891	1283	1047	15693	1001352	1.6	1.5
201744	5210	6081	3262	1326	1057	16936	997336	1.7	1.7
201745	6097	6588	3554	1476	1104	18819	1015192	1.9	1.9
201746	6839	7467	4162	1753	1350	21571	1050290	2.1	2
201747	6863	5805	3782	1671	1414	19535	841605	2.3	2.3
201748	6939	7338	5148	2166	1815	23406	1047194	2.2	2.3
201749	7146	8320	4945	2282	1826	24519	987392	2.5	2.6
201750	8186	11083	6553	2882	2305	31009	970138	3.2	3.4
201751	10276	13917	9675	4505	3687	42060	949215	4.4	4.8
201752	11097	11281	11226	5556	4958	44118	812682	5.4	5.7
201801	9253	11451	13156	6730	5793	46383	864570	5.4	5.8
201802	9721	16722	15111	7548	5952	55054	988545	5.6	5.9
201803	11239	20394	15575	7291	5350	59849	937653	6.4	6.5
201804	11915	26739	16833	8098	5566	69151	971869	7.1	7.1
